b1317a26-a954-4a2f-9da7-047b321e1838,Ледовая арена им. Третьяка
1c211a04-1477-48d2-8975-e0cc3b66d923,ГБУ СПОРТИВНАЯ ШКОЛА
f3d84738-73a9-4bcd-8163-79c1abc3db5a,Каток Молния СШ 70
bfa49b20-dd29-4c8b-9c07-c7f2dfe249c5,Дворец спорта Багратион
86debf53-3093-4cc8-8c3b-da2aab450754,Дворовый каток ул Амурская 20
6f91331f-862b-45ca-85db-522618307ef0,Дворовый каток Зеленоград к307
81e53853-0de6-4677-b207-ed06fd059788,Дворовый каток ул Маршала Захарова 14к1
5f15e592-7e15-4db0-9fbf-dcdce3465d16,Ледовый дворец Крылатское
6b755e0e-761e-43cf-9775-5cb3e228891b,Дворец спорта Надежда
ac8093fa-2602-4dc1-a5c7-09899bc1f494,Ледовая арена им С.В.Федорова
87495d95-d1e8-4981-bb4e-489007c5de51,Спортивный комплекс образовательного учреждения ул. Проходчиков 9
5e365476-09db-4e6f-bc43-43d644ad437c,Каток Вилса Лациса
c9d87a43-1fb6-4864-8764-da3917666523,Спортивный комплекс Кировский
cfc26252-fd83-4d03-b8f2-d70532f768f4,Каток в Парке по Ангарской
de61b0bd-60ae-4943-8df3-79b0cce8d655,Дворовый каток Зеленоград 403
bc43ca3b-eaef-4fe1-9e88-acb2514d1520,Дворовый каток ул Краснодарская 72к3
fd2b5c80-62d5-4897-a632-22e3ee763254,Ice Park на Профсоюзной
eb0a2943-0740-4338-be24-6a6f3b1eba5e,Ice Park в Жуковском
86647949-0d7d-4ce1-bda8-f2ad0d890634,ФОК ЛД ЗВЕЗДА
3d7de96f-17d4-4f80-98b4-88ea793263db,СК Ледовый ЦСКА
0665666a-9042-4dd2-b187-8d2ea70bf420,Ледовая арена Б-Класс
8997b932-defa-49ee-80d8-1bfcc331554a,ТВОЙ ЛЕД
764da90f-ee11-4dfb-87e5-0571ef3a3687,Спортивный комплекс ЛЕГЕНДА
c0e8c3ab-2cfa-4c72-89b8-437e53157fa1,Каток ш. Энтузиастов
ff0917ca-7303-4d93-afaa-47cec52c9603,Спортивное сооружение ул 2-я Вольская 11с1
98e01790-c397-4818-af72-f401d7293b7f,Дворовый каток ул Зарайская 52к2с3
ddb31bb2-7014-489f-bad7-8dfef3e4c9bf,Спортивный комплекс образовательного учреждения Линейный проезд 9
c566ba0e-75bd-4ddb-85b6-e45e1db81f29,Арена Мытищи
5cbac933-46f6-481e-af3c-f6f7e9e2e50f,Be Like Pro - Дубровка Москва
378519a5-da7a-40e7-b7ca-03779c09730d,Ледовая Арена Стерх
ee0a8acd-61a5-4b1b-99dd-2c0d2c9e6870,Снеговик
fdc80080-fbd8-4274-86fa-59ac48c2b7f6,Каток МЕГА Белая Дача
01a3fcb4-7e8e-4007-898c-aab362dcc00a,Каток в парке Петровский
c45abc4c-a50f-4867-8d3a-6704415b1035,Каток в парке у прудов Радуга
b9404d20-3b94-4478-add2-9fcd59f1e208,Каток Природно-исторический парк Тушинский
abe8864c-1e28-4287-a8b4-393ef92fab60,Дворовый каток Зеленоград к518
04a848ff-a421-4224-9a5f-fad5a64d0b08,Каток в Парке Таганский
68034cbb-32ab-4edd-bac5-963155075d5e,Южный Лед
5ed00868-2dce-46e1-b1e5-76022a28355b,Каток в Парке Сказка
0182a162-6c67-459a-93e6-4e99914b7992,Vegas Каширское шоссе
1cb79433-3d9d-44ec-b67c-238fef128d7a,Каток в Парке Дубки
147df78d-8362-413a-ae8b-8c3cbdc4d07b,Ледовый дворец  Наро-Фоминск им. В. Шалимова
e71ef179-a56a-4d21-83af-bf9983ba7f69,Дворовый каток ул Пронская 4
edea8c69-6815-4ed8-a1ea-52cb3ff78765,Дворовый каток ул Талдомская 2
e38c6a27-edbd-4076-a5b0-14cd8e53b980,Спортивный комплекс образовательного учреждения ул Врубеля 6
f6d9edef-1eda-482b-ac66-2cea1ddc501f,Спортивный комплекс образовательного учреждения ул Привольная 37
92f8106e-29a7-4326-88ee-9caf8be64576,Дворовый каток ул Вешняковская 16Г
a569a650-ff7f-4003-8d0c-d5f8fb564ac4,Каток Ростокинский акведук
b5608568-6abd-457f-802f-bdf1814576a1,ВТБ Арена
b9759641-a574-47da-aac1-68d106f84b09,Каток в парке Красная Пресня
b366d7f6-c55f-48c8-b749-a1d8954141bb,Vegas Кунцево
62cf5b92-4fe3-4d70-a1cd-a9e66978136f,Дворовый каток ул. Беломорская 14к1
1c0d7366-3940-4bcd-bd3e-d6efcf28d91d,Каток в Парке Останкино
2e366908-5e35-4e08-afa8-6ef48b111c4a,Открытый ледовый каток ул Н.Ковшовой 14к1
3c0030f2-a9c5-45f6-8d2d-fdb5d8c75410,Каток Ландшафтный парк Митино
232697fe-0dd9-4ce2-96d6-1559320058e6,Ледовый каток ул Летняя 1с1
19abf636-0e3d-491b-8035-5dded2c5433b,Дворовый каток ул Салтыковская 13Б
6062b258-ca14-41f6-84f9-addb1e3c1bf4,Спорт тайм
10807525-bac3-41bd-bfbc-14f845157105,ЛСК Лидер
95261577-a8ed-450f-86da-f77315f2c8ac,Юрловский
8f5a40cf-f2d4-41af-9c70-2a25b071395a,Дворовый каток ул Маршала Федоренко 2к1
de3250cb-58ef-4510-900c-721f496349ac,Дворовый каток ул. Молостовых 10к1
63a0f875-94f7-445c-91ef-c82c1d529d5b,Каток Русская Зима на ул Красного Маяка
35dba21f-8e14-460e-9f35-83f0e4a6b199,Дворовый каток ул Азовская 9к2
432fba2b-6433-4ebc-a074-524a2958a0a9,Дворовый каток Волоколамский проезд  5к1
58b1b2bb-2062-4363-9c6d-921d5c1b2614,Дворовый каток Востряковский проезд 23к3
d942f6b7-0baf-4b77-b3a2-46bdc6706616,ФК Спартак
cb60dd3c-e257-4664-828e-91f706028015,Вершина
